Viper_body

Right Surface Points
        x()          y()          z()
       -0.028          0.051         -0.033
       -0.028          0.050         -0.041
       -0.028          0.049         -0.048
       -0.028          0.048         -0.055
       -0.028          0.047         -0.062
       -0.028          0.045         -0.068
       -0.028          0.043         -0.074
       -0.028          0.040         -0.080
       -0.028          0.036         -0.085
       -0.028          0.032         -0.089
       -0.028          0.027         -0.092
       -0.028          0.022         -0.095
       -0.028          0.015         -0.097
       -0.028          0.008         -0.099
       -0.028          0.000         -0.099

  Cross Section  21
       -0.006          0.000          0.098
       -0.006          0.008          0.098
       -0.006          0.015          0.097
       -0.006          0.022          0.094
       -0.006          0.027          0.092
       -0.006          0.032          0.088
       -0.006          0.036          0.084
       -0.006          0.039          0.079
       -0.006          0.042          0.073
       -0.006          0.045          0.068
       -0.006          0.047          0.061
       -0.006          0.048          0.054
       -0.006          0.049          0.047
       -0.006          0.050          0.040
       -0.006          0.051          0.032
       -0.006          0.051          0.024
       -0.006          0.051          0.016
       -0.006          0.051          0.008
       -0.006          0.051         -0.000
       -0.006          0.051         -0.009
       -0.006          0.051         -0.017
       -0.006          0.051         -0.025
       -0.006          0.051         -0.033
       -0.006          0.050         -0.041
       -0.006          0.049         -0.048
       -0.006          0.048         -0.055
       -0.006          0.047         -0.062
       -0.006          0.045         -0.069
       -0.006          0.042         -0.075
       -0.006          0.039         -0.080
       -0.006          0.036         -0.085
       -0.006          0.032         -0.089
       -0.006          0.027         -0.093
       -0.006          0.022         -0.096
       -0.006          0.015         -0.098
       -0.006          0.008         -0.099
       -0.006          0.000         -0.100

  Cross Section  22
        0.016          0.000          0.103
        0.016          0.008          0.103
        0.016          0.015          0.101
        0.016          0.021          0.099
        0.016          0.027          0.096
        0.016          0.032          0.092
        0.016          0.036          0.088
        0.016          0.039          0.083
        0.016          0.042          0.077
        0.016          0.044          0.071
        0.016          0.046          0.064
        0.016          0.048          0.057
        0.016          0.049          0.050
        0.016          0.050          0.042
        0.016          0.050          0.034
        0.016          0.051          0.026
        0.016          0.051          0.018
        0.016          0.051          0.009
        0.016          0.051          0.001
        0.016          0.051         -0.008
        0.016          0.051         -0.016
        0.016          0.051         -0.024
        0.016          0.050         -0.032
        0.016          0.050         -0.040
